,SYSTEM,VINA,NNSCORE,DLSCORE,-logKi/Kd
40,1bxo,-10.43299,7.24863412371741,9.335960197448733,10.0
41,1bxq,-8.14208,6.416199188737089,8.719932079315187,7.38
42,1bzc,-9.7753,6.3718487742725625,4.63003945350647,4.92
43,1c3x,-6.2274199999999995,6.3469566212587925,4.732734251022339,3.68
44,1c5c,-9.06525,5.637998111072612,7.120395612716675,6.96
45,1c5n,-5.45461,5.377874584307718,5.114942026138307,4.7
46,1c5o,-5.07416,2.0506712953761577,3.714454460144043,3.49
47,1c5p,-5.6614,3.688781734914584,3.928146934509277,4.68
48,1c5q,-5.8341199999999995,5.978019860721886,5.701158952713013,6.36
49,1c5s,-6.02431,4.878594475951045,4.490522527694703,6.0
50,1c5t,-5.8192,5.391159583625671,4.545873546600342,4.1
51,1c5x,-5.9358900000000006,5.856806537600375,5.144892978668213,6.68
52,1c5y,-6.31114,5.8112335363560375,5.320294523239137,4.2
53,1c70,-10.80845,9.762813531885438,9.206183910369873,10.3
54,1c83,-8.47149,4.505012798655464,4.6290195941925045,4.85
55,1c84,-8.64063,4.992465907097406,4.901186418533325,5.0
56,1c86,-7.776730000000001,4.008254327441232,4.1825261354446415,4.7
57,1c87,-7.95556,4.432342718583955,4.007772755622864,4.2
58,1c88,-8.10373,4.751302413710258,4.56782112121582,5.29
59,1ceb,-5.94192,4.672018107364381,6.3367596626281735,6.0
60,1d4h,-11.65132,8.778998924077486,9.55311450958252,10.0
61,1d4i,-12.49485,8.062030276300195,9.624150943756103,8.85
62,1d4j,-11.87176,9.00855526207915,8.580293655395508,8.36
63,1d4k,-11.65995,8.810958345838088,9.329704475402831,9.22
64,1d4l,-10.45593,9.952812579971354,9.118113613128662,8.77
65,1d6v,-9.539439999999999,5.637634711536509,6.668373537063599,6.17
66,1d7i,-2.06121,2.5336555864071144,4.91471529006958,3.6
67,1d7j,-3.11564,0.42245000602762894,3.5516084909439085,3.3
68,1det,-5.98856,5.263899510681876,4.996376323699951,4.3
69,1df8,-7.83023,6.603080013733232,7.155211400985718,9.7
70,1dhi,-7.58972,6.489535862241013,6.902964115142822,7.26
71,1dhj,-8.043460000000001,7.2362318553873894,7.125227642059326,6.55
72,1dl7,-5.68414,3.884581544734491,5.453856706619263,6.49
73,1dmp,-12.89155,8.719746733826693,8.708790111541749,9.55
74,1drk,-6.9176899999999995,4.706319214278252,6.316034746170044,6.82
75,1dzk,-4.599069999999999,3.781674215089589,3.829403185844421,6.1
76,1e1v,-6.3792599999999995,3.114857507246963,7.250443744659424,4.92
77,1e1x,-6.5517900000000004,2.8820547171418696,6.0333662033081055,5.89
78,1e2k,-8.493889999999999,5.806152756344063,6.046635532379152,4.94
79,1e2l,-8.1475,4.948225404520548,5.476821327209473,4.29
80,1e3v,-6.938219999999999,6.297258169398859,6.768629217147828,4.34
81,1e6s,-6.09205,2.9145036123638435,5.041022920608522,3.22
82,1eb2,-8.29154,6.388604551640334,7.10481219291687,6.01
83,1ebw,-8.75683,7.83292193660954,8.729190731048584,9.05
84,1eby,-11.96377,8.194089384160401,9.387059688568117,9.7
85,1ebz,-10.2486,7.966614860100975,9.270179557800294,9.4
86,1ec0,-12.33162,7.685952230046982,8.937467575073242,8.49
87,1ec1,-9.5344,8.953828533187005,8.998943901062011,8.92
88,1ecv,-7.911289999999999,4.2610803022225,4.759896516799927,4.85
89,1efy,-8.13208,6.896559695782666,7.441476535797119,8.22
90,1ejn,-9.185939999999999,5.668852111896328,6.672955894470215,5.62
91,1ela,-7.156860000000001,5.468036519620808,6.384666156768799,6.36
92,1eld,-8.25145,5.982368166213562,6.549792194366455,6.7
93,1ele,-7.10728,5.600469162626867,6.576595783233643,6.85
94,1enu,-7.821689999999999,3.6324067355159486,5.117315626144409,5.08
95,1epo,-10.06202,7.9110660168477365,8.165394687652588,7.96
96,1erb,-8.48193,6.273981701056013,8.034306621551513,8.1
97,1ez9,-5.28682,3.284326049213976,4.557155847549439,5.1
98,1ezq,-9.88512,9.129829867318351,8.733849143981933,9.05
99,1f0r,-10.009910000000001,7.610358418177521,7.734627151489258,7.66
100,1f0u,-7.85215,7.597298838398856,7.415464019775389,7.16
101,1f4e,-6.28178,3.0060552628528145,4.58202338218689,2.96
102,1f4g,-8.63948,6.3114696573650075,7.209113883972168,6.48
103,1f4x,-5.45218,3.9746381722833055,6.611550569534303,5.59
104,1fcx,-14.34844,8.421921302885455,8.811424064636231,7.19
105,1fcy,-14.70801,8.224742739159822,8.564751052856446,8.52
106,1fcz,-13.37389,8.13758276250251,8.115896463394165,9.22
107,1fd0,-14.381429999999998,8.178981036461261,8.6015230178833,8.4
108,1fh7,-7.17116,3.721921832949147,4.808424806594847,5.24
109,1fh8,-7.2897300000000005,4.546871322206469,7.222884750366211,6.89
110,1fh9,-8.081719999999999,4.483486272529704,5.6133490085601805,6.43
111,1fhd,-8.34719,4.342734788253631,7.617293119430543,6.82
112,1fkg,-7.43664,6.851520672478657,7.368870878219606,8.0
113,1fkh,-6.85568,5.5811314229569655,7.651750993728638,8.15
114,1fki,-10.91685,4.121210324156375,8.066783094406128,7.0
115,1fl3,-10.03241,6.983395669166383,7.085995626449585,6.8
116,1fpc,-8.0679,6.80602979325563,8.315989255905151,7.0
117,1fv0,-8.26004,5.480786401197316,5.9465983390808095,5.93
118,1g2k,-11.83586,8.499405483839887,8.438863706588744,7.96
119,1g2l,-8.97359,7.838633371136803,8.134678888320924,7.24
120,1g2o,-9.80154,6.710961572831743,8.861529159545901,10.55
121,1g30,-8.32243,6.845837599075657,7.302197790145874,6.85
122,1g32,-9.30585,6.362918750284668,7.86091513633728,6.11
123,1g35,-10.6371,8.556385953558287,8.966137790679932,8.14
124,1g36,-8.81777,6.003109050705166,6.6186270236969005,7.17
125,1g74,-5.01875,3.5451375573356514,7.450756168365477,6.52
126,1g7g,-7.34305,6.402583391348759,6.7056747436523425,6.6
127,1g85,-3.91775,2.156486815747401,3.9517162084579462,5.48
128,1g98,-5.78638,5.212626478575045,5.847460746765138,5.7
129,1gaf,-7.22547,6.621401158055567,6.439961624145508,8.0
130,1ghv,-8.44628,4.0368415704885985,5.904396104812622,4.35
131,1ghw,-7.6914,4.74411348471455,5.311982011795044,4.2
132,1ghz,-8.400210000000001,5.0759942432906255,5.586873483657837,4.8
133,1gi1,-7.340439999999999,4.3149278482447215,5.050757646560669,5.47
134,1gi7,-8.098889999999999,4.775445853518257,4.7766380310058585,4.51
135,1gj6,-9.682839999999999,5.996676356258132,7.116318273544311,7.0
136,1gpn,-9.52014,5.054706140725473,6.0665945529937755,6.48
137,1gvw,-7.49838,5.174431295359385,8.240616321563719,6.96
138,1gyx,-5.352,2.409437890890845,3.7371751070022574,2.48
139,1gyy,-6.134580000000001,1.781040375874404,3.502927327156067,3.64
140,1h1s,-8.13441,7.437589118926545,8.143808937072754,8.22
141,1h22,-9.978819999999999,7.469833948244799,7.819326496124267,9.1
142,1h23,-9.72015,8.097037887796526,8.175937986373901,8.35
143,1hbv,-7.8556,7.058287192008913,7.857393980026245,6.37
144,1hmr,-5.33564,6.723709685138968,7.344876003265381,6.55
145,1hms,-5.26119,6.594581582483171,6.956349992752076,6.37
146,1hmt,-5.090269999999999,6.825108176281979,7.369644737243652,5.79
147,1hos,-8.82584,8.355424615902901,8.425657892227173,8.55
148,1hps,-9.078330000000001,8.207872167114802,9.10643835067749,9.22
149,1hpv,-8.05172,8.756331330369752,8.566811084747313,9.22
150,1hpx,-8.69709,8.495764846437991,9.589823532104493,11.26
151,1hsh,-10.43427,9.460795230231007,8.527132844924926,9.42
152,1hvh,-10.26407,7.969525690984466,8.533697986602784,7.96
153,1hvi,-9.85548,7.7356220762563135,9.642899990081787,10.92
154,1hvj,-9.53415,7.0085551049065815,9.627846240997314,11.4
155,1hvk,-10.25558,9.290335047436454,9.513909244537354,10.96
156,1hvl,-9.49136,8.77476680104008,9.342319774627686,9.95
157,1hvr,-14.83585,8.073024314530036,9.459218978881836,9.51
158,1hvs,-9.252460000000001,7.03200798253677,9.53940134048462,10.3
159,1hwr,-9.3456,7.89906049276947,8.657103252410888,8.33
160,1hxb,-11.17253,8.517359455524778,8.8043869972229,9.92
161,1hxw,-8.89171,10.477947445774523,10.510519790649417,10.82
162,1i5r,-12.26206,5.821962662413485,7.876240968704224,8.52
163,1i7z,-8.26501,6.15375501948412,7.4540138244628915,6.4
164,1igj,-8.141960000000001,3.9816024278396736,7.660887241363525,10.0
165,1ii5,-5.71442,5.407839303425296,4.951347279548645,6.62
166,1izh,-9.44399,9.212326182620464,8.960215854644776,7.7
167,1izi,-8.98005,8.098795150189451,8.818696117401123,6.59
168,1j14,-5.62346,4.0596160422227605,3.738501620292664,4.49
169,1j16,-5.3570199999999994,3.525257583758977,4.203512310981751,3.84
170,1j17,-9.76944,6.446038817420383,7.647162866592407,5.22
171,1j4r,-6.73804,4.4445776376305135,7.042629051208496,7.72
172,1jak,-7.6196,4.641687221934669,6.815852165222168,5.57
173,1jet,-7.482310000000001,6.15014916940112,6.477617359161378,7.25
174,1jgl,-12.46481,7.393530058950487,8.179581260681152,8.7
175,1jmf,-7.554930000000001,5.504127873031472,5.768422365188599,5.77
176,1jmg,-7.23141,7.69998225085992,6.027269268035889,6.07
177,1jqy,-6.433680000000001,3.3141100877430274,4.849292135238646,4.92
178,1jsv,-6.38874,3.6007317806628665,6.0762975215911865,5.7
179,1jys,-4.20553,2.5654096456911053,3.4082461595535283,3.52
180,1jzs,-6.2954300000000005,4.859032153278662,7.667427396774293,6.6
181,1k1i,-8.81584,6.233697784171414,7.401154613494872,6.58
182,1k1j,-8.146410000000001,6.177130488348802,7.375301027297974,7.55
183,1k1l,-8.2284,6.124242017514616,6.706720495223999,6.9
184,1k1m,-8.37417,6.008888826845172,7.139334583282472,7.4
185,1k1n,-6.72067,5.743713324769925,7.025202846527098,6.82
186,1k21,-7.687530000000001,7.942751661051905,7.999526166915894,8.38
187,1k22,-9.02968,6.948177926377082,7.659605598449707,8.4
188,1k4g,-7.959639999999999,6.43174344724204,5.855770444869995,5.85
189,1k4h,-6.86562,5.859087691595424,5.723113203048706,5.11
190,1kdk,-11.207419999999999,5.666832118611766,8.714532661437989,9.05
191,1kel,-7.45615,7.013157278405846,7.660934782028197,7.28
192,1kpm,-7.4671899999999996,5.299678256782482,8.019767618179321,5.8
193,1ksn,-9.8256,8.415012331894356,8.472409248352049,9.4
194,1kv1,-8.15386,5.957628398933968,6.656261301040648,5.94
195,1kyv,-9.12857,5.881924414718295,7.6696715354919425,5.92
196,1kzk,-11.50971,10.158462482541301,9.804687881469727,10.39
197,1kzn,-8.38617,6.441619688994058,7.024625825881957,8.92
198,1l83,-5.1241900000000005,1.8037409689318058,3.930602836608887,3.4
199,1laf,-7.23597,6.433217416053977,6.801251316070558,7.85
200,1lag,-6.00317,5.206486768560848,5.855769872665405,6.3
201,1lah,-6.1215,5.571476495689954,6.570120477676393,7.52
202,1lbk,-5.414540000000001,4.8580249184899085,3.8811894893646235,3.18
203,1lee,-8.5942,6.867533196693041,7.551495361328125,7.74
204,1lf2,-8.76777,7.336658573404816,7.934064960479736,7.52
205,1lgw,-5.7367,3.9361387380462713,4.143068194389343,4.0
206,1li2,-5.2792699999999995,1.9090258656308772,3.832365536689758,4.04
207,1li3,-5.6528,4.75512111979738,4.333498501777649,4.25
208,1li6,-3.57954,0.6340916537691219,3.638659739494324,3.8
209,1lke,-11.88985,6.570180833858541,8.50617618560791,7.52
210,1loq,-7.72602,4.734794521809269,4.765599107742308,3.7
211,1lpg,-8.51403,4.979914296875714,7.774208974838258,7.09
212,1lpk,-9.99824,6.346133976703621,7.826110219955443,7.55
213,1lpz,-10.00022,8.012762398726911,8.572324895858765,7.6
214,1lst,-6.13438,4.966884042197204,6.182188177108765,7.85
215,1lvu,-7.800610000000001,5.878820129466911,7.178274297714234,5.32
216,1m2q,-9.68437,6.322571689554671,7.0073526859283435,6.1
217,1m2r,-9.06415,4.804944498569709,5.530830049514772,6.46
218,1m48,-7.915889999999999,5.942995675010394,6.503372669219972,5.09
219,1mes,-11.33155,8.730495188231991,9.202177238464355,7.7
220,1met,-11.556510000000001,9.718537514545336,9.003106784820556,9.4
221,1mfi,-7.81544,5.0486737042920335,4.645804643630981,5.59
222,1mjj,-8.60999,7.664416845353731,7.821764421463013,8.74
223,1mq5,-9.56322,7.906140156072648,8.722484350204468,9.0
224,1mq6,-9.092989999999999,10.82106524660852,9.48261251449585,11.15
225,1mrw,-10.71113,8.762976257629441,9.353816318511964,9.7
226,1mrx,-10.7857,9.511594844945039,9.484487438201905,7.26
227,1msm,-11.99765,9.714978326437652,9.709868240356446,10.48
228,1msn,-11.58228,8.915959292572477,9.501845169067384,9.09
229,1mtr,-10.49333,8.650045601548161,8.724938106536865,8.4
230,1mu6,-8.80016,9.318065280650167,7.835135364532472,8.38
231,1mu8,-9.13551,7.400849301329777,7.275025177001952,9.0
232,1n1m,-5.28338,4.917375651719578,6.51000862121582,5.7
233,1n46,-11.847430000000001,8.361526130875827,7.800837659835817,10.52
234,1n4h,-8.44962,6.561374464698362,7.045177984237671,6.55
235,1nc1,-9.24498,7.8515514437321565,7.277950525283813,6.12
236,1nc3,-8.68736,6.5613844350159285,5.573320531845093,5.0
237,1nf8,-9.14432,5.757826185675582,6.888626670837402,7.82
238,1nfu,-9.0201,7.479873699336792,8.142239761352537,7.74
239,1nfw,-9.27267,6.608204172760317,8.443170213699341,8.96
240,1nfy,-9.98286,3.965790474240644,8.447282648086547,8.89
241,1nhu,-7.17267,7.0314363409316085,5.86453423500061,5.66
242,1nja,-7.97318,6.005807024595439,5.9737298488616934,6.31
243,1njc,-8.034239999999999,7.1149373049791125,5.938227748870848,5.55
244,1njd,-8.42105,7.432162926333201,5.6916361331939695,5.57
245,1nje,-7.06458,4.946541181308532,5.516465902328491,3.8
246,1njs,-9.56747,8.676343708592691,7.858613300323486,7.82
247,1nl9,-8.19977,5.835927862442906,5.906404781341553,5.96
248,1nli,-5.60163,4.004125874320113,3.972532987594605,3.59
249,1nny,-10.13873,6.590906666465164,6.884358215332031,7.66
250,1no6,-8.98475,4.784753016867584,4.867718505859375,4.41
251,1nq7,-8.52829,6.945983618460701,7.334526634216307,6.8
252,1nt1,-14.371739999999999,9.752666750120124,8.471414470672608,8.89
253,1nvq,-12.0247,8.104676118176823,8.100063848495484,8.25
254,1nvr,-11.59868,8.325891107242951,8.264063310623168,8.11
255,1nvs,-12.097760000000001,7.172043421260798,7.4668903827667235,7.82
256,1nw7,-7.222910000000001,4.902607883326196,5.145303249359131,5.09
257,1nz7,-7.9336199999999995,5.472770472256456,6.628012323379518,7.12
258,1o2o,-7.848139999999999,6.887018605519122,6.445302295684813,6.36
259,1o2q,-9.46443,5.448466293879856,7.555082750320435,7.68
260,1o2w,-7.32742,5.423217936453698,6.338746738433838,5.85
261,1o2z,-7.93205,6.548183576613626,5.877450847625733,6.11
262,1o30,-8.39967,6.452696174343372,6.870547485351563,6.77
263,1o33,-7.404310000000001,5.559649914217534,5.2355974197387685,5.74
264,1o36,-7.4634,6.312610230561244,5.825342750549316,5.96
265,1o3d,-8.38804,6.008900623392469,5.847274923324585,7.13
266,1o3i,-8.76934,6.750692895255432,6.672995948791504,7.3
267,1o3j,-8.25335,5.629484513366426,6.323142719268799,6.77
268,1o5a,-8.81258,6.271193615955895,6.541721677780151,6.42
269,1o5c,-7.63921,5.010207804578507,5.752618455886841,5.22
270,1o5e,-9.27637,6.463637797152518,6.962504100799562,5.74
271,1o5g,-9.71265,7.299558613239098,7.435701894760133,4.96
272,1oar,-11.461730000000001,6.8244832214882445,7.866368150711058,7.4
273,1oau,-7.000030000000001,7.382982821367478,6.703844451904298,7.7
274,1oba,-1.73745,1.6112340976196893,5.117801809310913,2.44
275,1ocq,-7.2261,4.607269531374478,6.272923994064331,5.19
276,1od8,-7.78062,3.946407796695489,5.704436349868773,5.1
277,1odi,-8.16501,6.8827286641629195,4.618011331558226,4.21
278,1odj,-8.51656,6.712996629405946,5.970417594909668,4.1
279,1oe8,-5.31809,4.975121757963613,4.7745781421661375,5.52
280,1ogd,-5.44935,3.511059779852912,3.6177678585052484,3.03
281,1ogz,-9.0967,7.683115189241548,6.219379997253418,5.85
282,1ohr,-9.97255,8.744773895849534,8.845363235473632,8.7
283,1ony,-7.65832,6.310782377805481,6.844652509689331,6.77
284,1onz,-8.15217,4.680380881116549,4.477935075759888,5.1
285,1os5,-7.76872,6.155273140063892,7.691908502578737,6.85
286,1oss,-4.95477,3.4377295749814736,3.8173985481262207,4.79
287,1owe,-7.446910000000001,4.727606432217447,4.95688009262085,6.2
288,1owh,-7.20065,5.734263404249793,5.3128878593444835,7.4
289,1oyq,-7.35623,5.588874198408809,6.642136287689209,6.96
290,1oyt,-10.87885,5.603403103961695,7.239875221252443,7.24
291,1p19,-7.55019,3.0219982390028735,5.3141623497009265,4.11
292,1p1n,-7.572839999999999,5.467112732383919,6.702995538711548,6.8
293,1p1o,-7.570710000000001,5.117301043661276,5.65750789642334,5.76
294,1p1q,-6.95633,5.8683401810300975,5.868606090545653,4.89
295,1p57,-7.596939999999999,5.4625052957016935,4.59244441986084,4.4
296,1pa9,-6.50915,4.4343506721020605,4.550083208084106,4.6
297,1pb8,-4.572769999999999,4.067923251419012,4.477375864982606,5.15
298,1pb9,-5.05426,3.2687958906630667,3.6650685787200934,3.62
299,1pbq,-8.40548,5.977771496758589,6.431721353530884,6.27
300,1phw,-4.3114,4.2815741272705425,3.4692451000213618,3.3
301,1pot,-5.2899400000000005,4.687956800633849,6.456090593338013,5.49
302,1ppc,-8.36559,6.596104250896778,7.580681657791137,6.16
303,1pph,-7.7367300000000006,5.329319486396041,6.796498394012451,5.92
304,1ppk,-6.56675,4.738750234498059,8.20054669380188,7.66
305,1ppl,-7.9633899999999995,6.375344938489661,8.330299520492554,8.55
306,1pxn,-8.2508,6.280282470646938,7.073056983947754,7.15
307,1pxp,-7.99787,6.803936195341053,7.361329174041747,6.66
308,1pzi,-5.83381,3.6918878077121695,4.342578315734864,4.22
309,1q5k,-6.46127,2.1528697257071,4.4475576162338255,7.42
310,1q65,-6.84823,6.662088667927148,6.5418195724487305,5.46
311,1q72,-7.27751,5.02365666595969,7.1742385864257825,6.85
312,1q8t,-7.0046100000000004,4.752567051332795,4.6673848152160655,4.76
313,1q91,-9.47475,4.335298077931448,6.243830633163452,4.15
314,1qan,-9.03708,4.656064884760417,5.519656944274902,4.48
315,1qaw,-8.77614,5.576862811057434,6.419900226593017,5.12
316,1qb1,-8.240260000000001,8.325080629556593,7.691816806793213,6.77
317,1qbn,-8.10563,5.671663668227501,5.447890710830689,5.85
318,1qbo,-8.41745,5.824545715062765,6.656127643585205,7.74
319,1qbr,-13.905170000000002,8.111589711541411,9.534352207183838,10.57
320,1qbs,-11.77944,8.717852642774401,9.091919898986816,9.47
321,1qbu,-11.89276,9.636265924636074,9.584048748016356,10.24
322,1qbv,-8.21889,7.0519840277795725,6.298562145233153,5.39
323,1qy1,-5.32216,3.5830926689115983,5.62137622833252,6.52
324,1qy2,-5.02251,3.6168377482671055,5.27458119392395,5.74
325,1r0p,-11.43845,6.339814486302887,7.455677318572997,8.0
326,1r5y,-8.394169999999999,4.250894215268556,6.318369150161742,6.46
327,1r9l,-4.13404,3.512627972391962,4.685615348815918,5.4
328,1rd4,-8.77079,3.830185196362772,7.578276968002318,7.74
329,1rnt,-6.87542,4.313525733762583,4.644587421417238,5.19
330,1s38,-7.463139999999999,6.535503376316815,5.818816661834718,5.15
331,1sb1,-9.340810000000001,6.346956538925419,8.562857532501221,6.89
332,1sbg,-8.87612,7.609837805629809,8.349389839172364,7.74
333,1sdt,-11.47445,9.385215102636002,8.607601356506347,9.27
334,1sdu,-11.13544,9.84591536863729,9.098580265045166,10.07
335,1sdv,-11.147219999999999,8.793964113501865,8.781204986572266,8.74
336,1sgu,-10.08174,9.837862702150053,8.788329887390137,5.37
337,1sh9,-7.58057,8.35706512047923,8.720764827728269,6.03
338,1siv,-8.137780000000001,7.828466088370647,8.309278917312621,8.08
339,1sqo,-7.479760000000001,7.179834314726567,6.909605169296265,7.46
340,1sr7,-11.53737,7.143969432846202,8.897788143157959,10.1
341,1srg,-10.09782,6.625320467206175,6.678534746170044,5.3
342,1ssq,-3.62151,2.5118694560139434,5.091396141052246,6.0
343,1stc,-11.63746,8.209667928555987,8.473608350753784,8.1
344,1sv3,-4.47205,3.2144160729177926,3.579753112792969,4.35
345,1sw2,-4.41622,4.502571376823061,6.073177766799928,7.22
346,1swg,-6.98108,10.464716493141696,7.477255725860597,7.36
347,1swr,-7.81763,10.448159625359294,8.426465320587159,6.92
348,1syh,-9.4321,6.1088233405239984,6.621244525909424,6.41
349,1syi,-9.28669,6.001177533501145,6.654190587997436,5.44
350,1t32,-11.37473,6.67685250948561,7.8220077514648425,7.42
351,1t4v,-8.08661,8.057527152041702,8.347303819656371,7.68
352,1t7j,-8.280710000000001,9.56047756270308,8.739595222473145,8.7
353,1ta6,-9.67521,9.101985511337348,7.975392293930054,9.13
354,1tcx,-9.00147,7.023377588048692,8.465982818603516,6.95
355,1td7,-6.30623,7.36057609314378,5.34661021232605,4.37
356,1tng,-4.22994,1.9054889780664144,4.120558261871338,2.93
357,1tnh,-4.54292,4.073291801720032,3.970301842689514,3.37
358,1tni,-4.06058,2.153507323212444,4.192495083808899,4.0
359,1tom,-8.61154,6.965444114339652,7.66115927696228,8.3
360,1tsy,-8.19813,6.931799830750961,5.594469356536865,4.96
361,1u1w,-7.686789999999999,5.584522178039398,5.0359845638275145,5.85
362,1ua4,-8.38078,5.535356013816825,4.9875572681427,4.22
363,1ugx,-5.09382,3.163477869590822,3.838200402259827,5.91
364,1uou,-7.3301300000000005,6.8955271430930605,7.133584642410279,7.7
365,1upf,-4.35878,4.1150295369024725,3.4854939460754397,4.6
366,1usi,-7.9417800000000005,5.78986911822983,6.418119239807129,6.74
367,1usk,-6.0614,4.800827194622507,6.163155841827392,6.4
368,1utj,-4.26745,3.161558491285267,3.566569924354553,3.84
369,1utl,-3.96824,1.3485726955410795,4.004235911369324,2.47
370,1utm,-4.14135,1.3568878618414062,3.7877063274383542,3.01
371,1utn,-4.18259,2.4138489982902205,3.643571519851685,3.49
372,1uto,-4.02111,0.9712135974544568,3.649191570281983,2.27
373,1uv6,-3.39134,1.0313860004814832,5.204844856262207,5.12
374,1uvt,-9.018089999999999,6.437162828785957,6.630093669891357,7.64
375,1uw6,-5.4691,4.034062896425975,6.659577322006227,7.34
376,1uwf,-6.32399,4.1984582807821536,7.464351987838745,6.82
377,1uz4,-6.515969999999999,2.803280605920477,4.7136820316314685,3.4
378,1v0k,-5.64709,3.0432938678557373,4.646703433990479,5.1
379,1v0l,-7.122000000000001,4.546123576443296,6.505686616897582,7.55
380,1v1j,-8.53266,5.285172226984179,5.044680023193361,4.82
381,1v2j,-5.7873,3.8570094422803938,3.505275535583496,3.25
382,1v2k,-10.59753,6.4345376134503045,7.556828212738037,6.19
383,1v2l,-5.24749,2.8669341308532035,3.907470226287842,4.29
384,1v2n,-9.65429,5.9616729734791045,7.4451844692230225,5.9
385,1v2o,-5.30725,2.6301217090740603,5.2325873374938965,4.73
386,1v2r,-6.683330000000001,6.629073139587014,7.253900194168091,3.55
387,1v2s,-5.2375300000000005,2.857307961903817,3.8891958236694335,4.17
388,1v2t,-6.1712,5.936367600286447,6.800824499130249,4.71
389,1v2u,-5.40511,2.9162080250044484,3.9582491159439086,3.37
390,1v2w,-5.11486,3.8472714354763142,5.1654901027679445,4.01
391,1v48,-8.46256,6.201914261788306,7.2311967372894275,7.8
392,1vfn,-5.86139,3.5090617036705214,4.519570398330688,5.6
393,1vyf,-5.56527,5.861904023608763,7.241586446762085,8.05
394,1vyg,-6.47403,3.5980220594281205,7.731725740432738,8.0
395,1vzq,-11.349089999999999,6.64881141941966,8.061409187316894,7.44
396,1w0z,-6.22795,6.492091713584645,7.250586795806885,7.68
397,1w11,-7.111210000000001,6.4470937939826385,7.767455768585205,8.22
398,1w13,-7.68582,7.49166547148217,7.933230876922607,8.7
399,1w3j,-5.96705,5.093305930406687,6.419915533065796,6.32
400,1w3k,-7.416910000000001,4.587736654318031,5.830757427215576,4.3
401,1w4o,-5.83723,4.287307760440512,3.938121223449707,5.22
402,1w4p,-5.89416,4.547571083715277,4.2227460861206065,4.74
403,1w4q,-6.27946,4.677709218405046,5.426489019393921,5.26
404,1w5v,-12.10871,7.245545086603157,8.796800994873047,8.15
405,1w5w,-12.61618,8.31461553172304,8.40406060218811,8.8
406,1w5x,-12.79776,7.827721677049695,8.46651520729065,8.4
407,1w5y,-11.63834,7.771767409821275,7.982046413421631,8.48
408,1w7g,-7.13735,5.2763555967685285,6.676089906692505,5.1
409,1w96,-10.54283,3.506257833101704,8.308865833282471,8.41
410,1wcq,-7.1729,5.395968857018431,6.584255123138428,6.26
